Player1,Player2,Winner,Player1_Name,Player1_Score,Player2_Name,Player2_Score
3,5,Cuy-r,Cuy-r,5.523747862519908,Ramen 🍜,4.968339166428539
3,6,Cuy-r,Cuy-r,5.523747862519908,TatorTot,5.060576130988503
3,7,Cuy-r,Cuy-r,5.523747862519908,I CAME,2.8194070672873335
3,8,Tribe | wBob,Cuy-r,5.523747862519908,Tribe | wBob,5.677999152363071
3,9,Cuy-r,Cuy-r,5.523747862519908,Q҉W҉E҈R҉T҉Y҉,3.630085372641006
3,10,miZz,Cuy-r,5.523747862519908,miZz,5.819125939849623
3,11,Cuy-r,Cuy-r,5.523747862519908,Paris,3.349591572487394
3,12,Cuy-r,Cuy-r,5.523747862519908,Icy❄,4.6708499524187195
3,13,Cuy-r,Cuy-r,5.523747862519908,Neivax,3.5186822567282783
3,14,Cuy-r,Cuy-r,5.523747862519908,Amiweird?,3.7566639546014646
3,15,Cuy-r,Cuy-r,5.523747862519908,NinjaBrawlerXD,4.949447286223822
3,16,Cuy-r,Cuy-r,5.523747862519908,SamLuvAsians,3.7485529678403435
3,17,Cuy-r,Cuy-r,5.523747862519908,KABOOM,4.230348456593447
3,18,Cuy-r,Cuy-r,5.523747862519908,Feral,0.9239747215935605
3,19,Cuy-r,Cuy-r,5.523747862519908,NIAN,2.036794904452468
3,20,Cuy-r,Cuy-r,5.523747862519908,bloodambusher,2.8609787683106953
3,21,Cuy-r,Cuy-r,5.523747862519908,UC | skittle🤍,1.1209074122340144
3,22,Cuy-r,Cuy-r,5.523747862519908,NotAlan,3.6583189035006862
3,23,Cuy-r,Cuy-r,5.523747862519908,L1S|Odin❦,4.434424970712591
3,24,Cuy-r,Cuy-r,5.523747862519908,PapaBoomkids,1.405662593984962
3,25,Cuy-r,Cuy-r,5.523747862519908,WaliEast | ➡️,3.885268193599868
3,26,Cuy-r,Cuy-r,5.523747862519908,Joe The Doe,2.9293903072290677
4,5,BeanLuvAsians,BeanLuvAsians,5.542321836818975,Ramen 🍜,4.968339166428539
4,6,BeanLuvAsians,BeanLuvAsians,5.542321836818975,TatorTot,5.060576130988503
4,7,BeanLuvAsians,BeanLuvAsians,5.542321836818975,I CAME,2.8194070672873335
4,8,Tribe | wBob,BeanLuvAsians,5.542321836818975,Tribe | wBob,5.677999152363071
4,9,BeanLuvAsians,BeanLuvAsians,5.542321836818975,Q҉W҉E҈R҉T҉Y҉,3.630085372641006
4,10,miZz,BeanLuvAsians,5.542321836818975,miZz,5.819125939849623
4,11,BeanLuvAsians,BeanLuvAsians,5.542321836818975,Paris,3.349591572487394
4,12,BeanLuvAsians,BeanLuvAsians,5.542321836818975,Icy❄,4.6708499524187195
4,13,BeanLuvAsians,BeanLuvAsians,5.542321836818975,Neivax,3.5186822567282783
4,14,BeanLuvAsians,BeanLuvAsians,5.542321836818975,Amiweird?,3.7566639546014646
4,15,BeanLuvAsians,BeanLuvAsians,5.542321836818975,NinjaBrawlerXD,4.949447286223822
4,16,BeanLuvAsians,BeanLuvAsians,5.542321836818975,SamLuvAsians,3.7485529678403435
4,17,BeanLuvAsians,BeanLuvAsians,5.542321836818975,KABOOM,4.230348456593447
4,18,BeanLuvAsians,BeanLuvAsians,5.542321836818975,Feral,0.9239747215935605
4,19,BeanLuvAsians,BeanLuvAsians,5.542321836818975,NIAN,2.036794904452468
4,20,BeanLuvAsians,BeanLuvAsians,5.542321836818975,bloodambusher,2.8609787683106953
4,21,BeanLuvAsians,BeanLuvAsians,5.542321836818975,UC | skittle🤍,1.1209074122340144
4,22,BeanLuvAsians,BeanLuvAsians,5.542321836818975,NotAlan,3.6583189035006862
4,23,BeanLuvAsians,BeanLuvAsians,5.542321836818975,L1S|Odin❦,4.434424970712591
4,24,BeanLuvAsians,BeanLuvAsians,5.542321836818975,PapaBoomkids,1.405662593984962
4,25,BeanLuvAsians,BeanLuvAsians,5.542321836818975,WaliEast | ➡️,3.885268193599868
4,26,BeanLuvAsians,BeanLuvAsians,5.542321836818975,Joe The Doe,2.9293903072290677
5,6,TatorTot,Ramen 🍜,4.968339166428539,TatorTot,5.060576130988503
5,7,Ramen 🍜,Ramen 🍜,4.968339166428539,I CAME,2.8194070672873335
5,8,Tribe | wBob,Ramen 🍜,4.968339166428539,Tribe | wBob,5.677999152363071
5,9,Ramen 🍜,Ramen 🍜,4.968339166428539,Q҉W҉E҈R҉T҉Y҉,3.630085372641006
5,10,miZz,Ramen 🍜,4.968339166428539,miZz,5.819125939849623
5,11,Ramen 🍜,Ramen 🍜,4.968339166428539,Paris,3.349591572487394
5,12,Ramen 🍜,Ramen 🍜,4.968339166428539,Icy❄,4.6708499524187195
5,13,Ramen 🍜,Ramen 🍜,4.968339166428539,Neivax,3.5186822567282783
5,14,Ramen 🍜,Ramen 🍜,4.968339166428539,Amiweird?,3.7566639546014646
5,15,Ramen 🍜,Ramen 🍜,4.968339166428539,NinjaBrawlerXD,4.949447286223822
5,16,Ramen 🍜,Ramen 🍜,4.968339166428539,SamLuvAsians,3.7485529678403435
